z;incz;I;Int I;Camp;IncB;;;
0,045;0,001;0,98;0,01;0,2;0,01;;;
0,04;0,001;;;0,3;0,01;;;
0,035;0,001;;;0,39;0,01;;;
0,03;0,001;;;0,53;0,01;;;
0,025;0,001;;;0,74;0,01;;;
0,02;0,001;;;1;0,01;;;
0,015;0,001;;;1,25;0,01;;;
0,01;0,001;;;1,5;0,01;;;
0,005;0,001;;;1,63;0,01;;;
0;0,001;;;1,73;0,01;;;
-0,005;0,001;;;1,78;0,01;;;
-0,01;0,001;;;1,81;0,01;;;
-0,015;0,001;;;1,78;0,01;;;
-0,02;0,001;;;1,69;0,01;;;
-0,025;0,001;;;1,53;0,01;;;
-0,03;0,001;;;1,36;0,01;;;
-0,035;0,001;;;1,12;0,01;;;
-0,04;0,001;;;0,8;0,01;;;
-0,045;0,001;;;0,56;0,01;;;
-0,05;0,001;;;0,45;0,01;;;
;;;;;;;;
