z;incz;I;Int I;Camp;IncB;;;
0,095;0,001;0,98;0,01;0,05;0,01;;;
0,085;0,001;;;0,12;0,01;;;
0,075;0,001;;;0,23;0,01;;;
0,065;0,001;;;0,79;0,01;;;
0,055;0,001;;;1,02;0,01;;;
0,045;0,001;;;1,09;0,01;;;
0,035;0,001;;;1,13;0,01;;;
0,025;0,001;;;1,14;0,01;;;
0,015;0,001;;;1,16;0,01;;;
0,005;0,001;;;1,16;0,01;;;
0;0,001;;;1,17;0,01;;;
-0,005;0,001;;;1,17;0,01;;;
-0,015;0,001;;;1,16;0,01;;;
-0,025;0,001;;;1,16;0,01;;;
-0,035;0,001;;;1,15;0,01;;;
-0,045;0,001;;;1,15;0,01;;;
-0,055;0,001;;;1,14;0,01;;;
-0,065;0,001;;;1,1;0,01;;;
-0,075;0,001;;;1,03;0,01;;;
-0,085;0,001;;;0,77;0,01;;;
-0,095;0,001;;;0,33;0,01;;;
