z;incz;I;Int I;Camp;IncB
0,095;0,001;0,98;0,01;0,12;0,01
0,085;0,001;;;0,23;0,01
0,075;0,001;;;0,6;0,01
0,065;0,001;;;1,45;0,01
0,055;0,001;;;2;0,01
0,045;0,001;;;2,19;0,01
0,035;0,001;;;2,25;0,01
0,025;0,001;;;2,28;0,01
0,015;0,001;;;2,31;0,01
0,005;0,001;;;2,31;0,01
0;0,001;;;2,31;0,01
-0,005;0,001;;;2,3;0,01
-0,015;0,001;;;2,29;0,01
-0,025;0,001;;;2,28;0,01
-0,035;0,001;;;2,27;0,01
-0,045;0,001;;;2,26;0,01
-0,055;0,001;;;2,2;0,01
-0,065;0,001;;;2,09;0,01
-0,075;0,001;;;1,69;0,01
-0,085;0,001;;;0,93;0,01
-0,095;0,001;;;0,38;0,01
