z;incz;I;IncInt;Camp;IncB
0,095;0,001;0,98;0,01;0,12;0,01
0,085;0,001;;;0,27;0,01
0,075;0,001;;;0,64;0,01
0,065;0,001;;;1,34;0,01
0,055;0,001;;;1,78;0,01
0,045;0,001;;;1,98;0,01
0,035;0,001;;;2,1;0,01
0,025;0,001;;;2,15;0,01
0,015;0,001;;;2,2;0,01
0,005;0,001;;;2,22;0,01
0;0,001;;;2,22;0,01
-0,005;0,001;;;2,22;0,01
-0,015;0,001;;;2,23;0,01
-0,025;0,001;;;2,23;0,01
-0,035;0,001;;;2,23;0,01
-0,045;0,001;;;2,19;0,01
-0,055;0,001;;;2,14;0,01
-0,065;0,001;;;1,99;0,01
-0,075;0,001;;;1,65;0,01
-0,085;0,001;;;1,02;0,01
-0,095;0,001;;;0,49;0,01
