Radi;Inc;Voltes;Intensitat;Inc1;Camp;Inc2;r^-1;Incr
0,06;0,001;1;3,99;0,01;0,08;0,01;16,66666667;0,277777778
0,06;0,001;1;3,99;0,01;0,09;0,01;16,66666667;0,277777778
0,085;0,001;1;3,98;0,01;0,06;0,01;11,76470588;0,138408304
0,085;0,001;1;3,99;0,01;0,06;0,01;11,76470588;0,138408304
0,12;0,001;1;3,98;0,01;0,04;0,01;8,333333333;0,069444444
0,12;0,001;1;3,98;0,01;0,04;0,01;8,333333333;0,069444444
0,12;0,001;2;3,98;0,01;0,09;0,01;8,333333333;0,069444444
0,12;0,001;2;3,98;0,01;0,08;0,01;8,333333333;0,069444444
0,12;0,001;3;3,98;0,01;0,13;0,01;8,333333333;0,069444444
0,12;0,001;3;3,98;0,01;0,12;0,01;8,333333333;0,069444444
