Tk;Inc;Rohm;Inc
22,4;0,1;109,4;0,1
27,4;0,1;110,4;0,1
28,1;0,1;110,7;0,1
29;0,1;111,3;0,1
30,5;0,1;112;0,1
31,1;0,1;112,2;0,1
32,2;0,1;112,6;0,1
33,4;0,1;113;0,1
34,3;0,1;113,4;0,1
35,5;0,1;113,8;0,1
36,1;0,1;114;0,1
36,8;0,1;114,3;0,1
37,4;0,1;114,8;0,1
38,6;0,1;115;0,1
39,7;0,1;115,4;0,1
40,7;0,1;115,8;0,1
41,2;0,1;116;0,1
42,2;0,1;116,4;0,1
43,2;0,1;116,8;0,1
43,7;0,1;117;0,1
44,7;0,1;117,4;0,1
45,7;0,1;117,8;0,1
46,7;0,1;118,2;0,1
47,6;0,1;118,6;0,1
48,4;0,1;119;0,1
49,4;0,1;119,4;0,1
50,4;0,1;119,8;0,1
50,9;0,1;120;0,1
51,9;0,1;120,4;0,1
52,8;0,1;120,8;0,1
54,3;0,1;121,4;0,1
55,3;0,1;121,8;0,1
55,7;0,1;122;0,1
56,7;0,1;122,4;0,1
58;0,1;123;0,1
60,4;0,1;124;0,1
62,6;0,1;125;0,1
64;0,1;125,5;0,1
65,3;0,1;126;0,1
66,4;0,1;126,5;0,1
67,5;0,1;127;0,1
68,8;0,1;127,5;0,1
69,9;0,1;128;0,1
71,3;0,1;128,5;0,1
72,4;0,1;129;0,1
73,7;0,1;129,5;0,1
74,8;0,1;130;0,1
77,2;0,1;131;0,1
78,2;0,1;131,5;0,1
79,5;0,1;132;0,1
80,4;0,1;132,5;0,1
81,7;0,1;133;0,1
82,8;0,1;133,5;0,1
84,1;0,1;134;0,1
85,2;0,1;134,5;0,1
86,3;0,1;135;0,1
87,6;0,1;135,5;0,1
88,9;0,1;136;0,1
90;0,1;136,5;0,1
90,4;0,1;137;0,1
90,6;0,1;137,5;0,1
91,5;0,1;138;0,1
92,4;0,1;138,5;0,1
93,7;0,1;139;0,1
94,8;0,1;139,5;0,1
95,7;0,1;140;0,1
96,8;0,1;140,5;0,1
98,1;0,1;141;0,1
99,5;0,1;141,5;0,1
100,6;0,1;142;0,1
101,8;0,1;142,5;0,1
104;0,1;143,5;0,1
105,2;0,1;144;0,1
107,5;0,1;145;0,1
108,4;0,1;145,5;0,1
109,6;0,1;146;0,1
110,8;0,1;146,5;0,1
111,7;0,1;147;0,1
112,8;0,1;147,5;0,1
114,1;0,1;148;0,1
115,4;0,1;148,5;0,1
116,5;0,1;149;0,1
117,6;0,1;149,5;0,1
118,7;0,1;150;0,1
119,9;0,1;150,5;0,1
121;0,1;151;0,1
122,2;0,1;151,5;0,1
124,5;0,1;152,5;0,1
125,8;0,1;153;0,1
126,8;0,1;153,5;0,1
128,1;0,1;154;0,1
129,3;0,1;154,5;0,1
130,6;0,1;155;0,1
131,5;0,1;155,5;0,1
132,8;0,1;156;0,1
135;0,1;157;0,1
136;0,1;157,5;0,1
137,3;0,1;158;0,1
138,5;0,1;158,5;0,1
139,7;0,1;159;0,1
140,9;0,1;159,5;0,1
141,9;0,1;160;0,1
142,9;0,1;160,5;0,1
143,9;0,1;161;0,1
145,2;0,1;161,5;0,1
146,2;0,1;162;0,1
147,3;0,1;162,5;0,1
148,5;0,1;163;0,1
149,7;0,1;163,5;0,1
150,7;0,1;164;0,1
151,7;0,1;164,5;0,1
152,6;0,1;165;0,1
153,4;0,1;165,5;0,1
154,7;0,1;166;0,1
156;0,1;166,5;0,1
157,5;0,1;167;0,1
159,5;0,1;168;0,1
161;0,1;168,5;0,1
161,9;0,1;169;0,1
163;0,1;169,5;0,1
164,5;0,1;170;0,1
165,9;0,1;170,5;0,1
167;0,1;171;0,1
168,1;0,1;171,5;0,1
169,2;0,1;172;0,1
170,3;0,1;172,5;0,1
171,4;0,1;173;0,1
172,8;0,1;173,5;0,1
174;0,1;174;0,1
175,2;0,1;174,5;0,1
176,4;0,1;175;0,1
177,4;0,1;175,5;0,1
178,4;0,1;176;0,1
179,5;0,1;176,5;0,1
180,7;0,1;177;0,1
182;0,1;177,5;0,1
183,2;0,1;178;0,1
184,5;0,1;178,5;0,1
185,7;0,1;179;0,1
186,8;0,1;179,5;0,1
189;0,1;180,5;0,1
190;0,1;181;0,1
191,5;0,1;181,5;0,1
192,5;0,1;182;0,1
193,8;0,1;182,5;0,1
194,8;0,1;183;0,1
196,2;0,1;183,5;0,1
197,3;0,1;184;0,1
198,5;0,1;184,5;0,1
199,9;0,1;185;0,1
201,2;0,1;185,5;0,1
202,9;0,1;186;0,1
204,3;0,1;186,5;0,1
205,7;0,1;187;0,1
207;0,1;187,5;0,1
208,4;0,1;188;0,1
209,5;0,1;188,5;0,1
210,8;0,1;189;0,1
212,1;0,1;189,5;0,1
213,1;0,1;190;0,1
214,4;0,1;190,5;0,1
215,8;0,1;191;0,1
218,3;0,1;192;0,1
219,1;0,1;192,5;0,1
220,3;0,1;193;0,1
221,7;0,1;193,5;0,1
222,3;0,1;194;0,1
223,7;0,1;194,5;0,1
225;0,1;195;0,1
226,3;0,1;195,5;0,1
227,6;0,1;196;0,1
228,7;0,1;196,5;0,1
229,6;0,1;197;0,1
230,8;0,1;197,5;0,1
232;0,1;198;0,1
233;0,1;198,5;0,1
234,2;0,1;199;0,1
235;0,1;199,5;0,1
236,1;0,1;200;0,1
238,2;0,1;201;0,1
239,4;0,1;201,5;0,1
240,8;0,1;202;0,1
243,6;0,1;203;0,1
244,3;0,1;203,5;0,1
245,6;0,1;204;0,1
246,7;0,1;204,5;0,1
247,6;0,1;205;0,1
248,9;0,1;205,5;0,1
250;0,1;206;0,1
251,4;0,1;206,5;0,1
252,7;0,1;207;0,1
254,1;0,1;207,5;0,1
255,3;0,1;208;0,1
257;0,1;208,5;0,1
258,2;0,1;209;0,1
259,3;0,1;209,5;0,1
260,4;0,1;210;0,1
261,9;0,1;210,5;0,1
263,1;0,1;211;0,1
264,4;0,1;211,5;0,1
265,7;0,1;212;0,1
266,7;0,1;212,5;0,1
268,2;0,1;213;0,1
269,3;0,1;213,5;0,1
270,5;0,1;214;0,1
272;0,1;214,5;0,1
273,2;0,1;215;0,1
274,6;0,1;215,5;0,1
275,8;0,1;216;0,1
276,7;0,1;216,5;0,1
278,1;0,1;217;0,1
279,5;0,1;217,5;0,1
280,9;0,1;218;0,1
282,3;0,1;218,5;0,1
283,3;0,1;219;0,1
284,2;0,1;219,5;0,1
285,3;0,1;220;0,1
286,6;0,1;220,5;0,1
287,2;0,1;221;0,1
288,6;0,1;221,5;0,1
290,2;0,1;222;0,1
291,7;0,1;222,5;0,1
293,1;0,1;223;0,1
