 ,Area,Mean,Min,Max,X,Y
1,0.000,150,150,150,1.273,-0.018
2,0.000,90,90,90,1.291,-0.255
3,0.000,86,86,86,1.315,-0.533
4,0.000,87,87,87,1.370,-0.776
5,0.000,89,89,89,1.430,-1.055
6,0.000,86,86,86,1.491,-1.255
7,0.000,90,90,90,1.612,-1.503
8,0.000,122,122,122,1.794,-1.806
9,0.000,90,90,90,2.036,-2.152
10,0.000,102,102,102,2.364,-2.479
11,0.000,89,89,89,2.673,-2.770
12,0.000,155,155,155,2.994,-3.018
13,0.000,84,84,84,3.436,-3.303
14,0.000,85,85,85,3.964,-3.485
15,0.000,89,89,89,4.709,-3.624
16,0.000,67,67,67,5.315,-3.764
17,0.000,68,68,68,5.903,-3.836
18,0.000,74,74,74,6.376,-3.830
19,0.000,72,72,72,6.803,-3.748
20,0.000,73,73,73,7.379,-3.645
21,0.000,67,67,67,7.888,-3.512
22,0.000,58,58,58,8.482,-3.355
23,0.000,107,107,107,8.979,-3.015
24,0.000,72,72,72,9.567,-2.712
25,0.000,84,84,84,10.039,-2.258
26,0.000,70,70,70,10.512,-1.724
27,0.000,68,68,68,10.876,-1.227
28,0.000,61,61,61,11.142,-0.597
29,0.000,114,114,114,11.209,-0.179
30,0.000,57,57,57,11.112,0.518
31,0.000,62,62,62,10.942,1.076
32,0.000,59,59,59,10.706,1.548
33,0.000,65,65,65,10.300,2.179
34,0.000,52,52,52,9.918,2.664
35,0.000,71,71,71,9.561,3.082
36,0.000,99,99,99,9.203,3.427
37,0.000,71,71,71,8.785,3.652
38,0.000,85,85,85,8.142,3.918
39,0.000,122,122,122,7.179,4.058
40,0.000,74,74,74,6.555,4.161
41,0.000,80,80,80,5.845,4.173
42,0.000,50,50,50,5.167,4.033
43,0.000,49,49,49,4.494,3.809
44,0.000,46,46,46,3.942,3.639
45,0.000,72,72,72,3.367,3.336
46,0.000,61,61,61,2.718,2.924
47,0.000,58,58,58,2.294,2.542
48,0.000,71,71,71,1.894,2.106
49,0.000,61,61,61,1.615,1.658
50,0.000,72,72,72,1.518,1.245
51,0.000,83,83,83,1.367,0.839
52,0.000,94,94,94,1.288,0.379
