 ,Area,Mean,Min,Max,X,Y
1,0.000,157,157,157,2.163,0.023
2,0.000,77,77,77,2.163,-0.209
3,0.000,91,91,91,2.129,-0.372
4,0.000,93,93,93,2.129,-0.645
5,0.000,87,87,87,2.141,-1.003
6,0.000,92,92,92,2.141,-1.282
7,0.000,97,97,97,2.141,-1.561
8,0.000,108,108,108,2.141,-2.119
9,0.000,98,98,98,2.141,-2.398
10,0.000,100,100,100,2.141,-2.677
11,0.000,97,97,97,2.141,-3.235
12,0.000,146,146,146,2.141,-3.794
13,0.000,135,135,135,2.116,-4.159
14,0.000,123,123,123,2.105,-4.461
15,0.000,123,123,123,2.186,-4.671
16,0.000,119,119,119,2.326,-4.942
17,0.000,132,132,132,2.519,-5.128
18,0.000,121,121,121,2.756,-5.306
19,0.000,143,143,143,2.973,-5.384
20,0.000,140,140,140,3.298,-5.465
21,0.000,140,140,140,3.570,-5.477
22,0.000,109,109,109,3.880,-5.450
23,0.000,121,121,121,4.174,-5.426
24,0.000,119,119,119,4.461,-5.384
25,0.000,108,108,108,4.748,-5.322
26,0.000,155,155,155,5.078,-5.267
27,0.000,172,172,172,5.407,-5.174
28,0.000,99,99,99,5.760,-5.109
29,0.000,126,126,126,6.089,-5.035
30,0.000,95,95,95,6.407,-4.926
31,0.000,146,146,146,6.671,-4.810
32,0.000,136,136,136,7.023,-4.725
33,0.000,143,143,143,7.391,-4.554
34,0.000,98,98,98,7.764,-4.415
35,0.000,104,104,104,8.120,-4.298
36,0.000,145,145,145,8.465,-4.151
37,0.000,108,108,108,8.895,-3.957
38,0.000,86,86,86,9.147,-3.810
39,0.000,95,95,95,9.612,-3.558
40,0.000,76,76,76,9.922,-3.287
41,0.000,106,106,106,10.391,-2.919
42,0.000,99,99,99,10.717,-2.659
43,0.000,83,83,83,11.124,-2.229
44,0.000,84,84,84,11.388,-1.926
45,0.000,74,74,74,11.729,-1.535
46,0.000,89,89,89,12.058,-1.221
47,0.000,84,84,84,12.453,-0.705
48,0.000,62,62,62,12.640,-0.376
49,0.000,102,102,102,12.779,0.109
50,0.000,66,66,66,12.736,0.531
51,0.000,57,57,57,12.581,0.977
52,0.000,50,50,50,12.430,1.372
53,0.000,46,46,46,12.236,1.787
54,0.000,47,47,47,12.012,2.159
55,0.000,41,41,41,11.764,2.496
56,0.000,43,43,43,11.597,2.752
57,0.000,58,58,58,11.341,3.143
58,0.000,41,41,41,10.977,3.473
59,0.000,42,42,42,10.609,3.640
60,0.000,41,41,41,10.225,3.868
61,0.000,48,48,48,9.779,4.112
62,0.000,75,75,75,2.134,0.366
63,0.000,72,72,72,2.128,0.756
64,0.000,73,73,73,2.157,1.244
65,0.000,77,77,77,2.128,1.558
66,0.000,103,103,103,2.163,1.953
67,0.000,67,67,67,2.145,2.384
68,0.000,62,62,62,2.151,2.779
69,0.000,64,64,64,2.174,3.186
70,0.000,58,58,58,2.169,3.552
71,0.000,72,72,72,2.186,3.988
72,0.000,66,66,66,2.297,4.570
73,0.000,46,46,46,2.448,4.971
74,0.000,77,77,77,2.198,4.320
75,0.000,42,42,42,2.320,4.820
76,0.000,42,42,42,2.645,5.215
77,0.000,39,39,39,2.849,5.471
78,0.000,75,75,75,2.977,5.587
79,0.000,58,58,58,3.198,5.558
80,0.000,43,43,43,3.599,5.558
81,0.000,40,40,40,4.145,5.570
82,0.000,40,40,40,4.628,5.541
83,0.000,37,37,37,5.035,5.535
84,0.000,37,37,37,5.483,5.477
85,0.000,36,36,36,5.872,5.459
86,0.000,46,46,46,6.331,5.349
87,0.000,39,39,39,6.779,5.267
88,0.000,37,37,37,7.209,5.163
89,0.000,32,32,32,7.578,4.988
90,0.000,54,54,54,8.043,4.849
91,0.000,35,35,35,8.353,4.717
92,0.000,32,32,32,8.795,4.562
93,0.000,37,37,37,9.143,4.438
94,0.000,36,36,36,9.570,4.260
