dl;ri;V1;V2
1,00;6,60;9,22;8,70
0,50;6,20;9,23;8,71
0,50;5,60;9,24;8,71
0,50;5,20;9,23;8,71
0,50;4,60;9,22;8,71
0,50;3,90;9,23;8,71
0,50;3,30;9,21;8,70
0,50;2,60;9,23;8,69
0,50;2,20;9,22;8,70
0,50;1,80;9,23;8,69
0,50;1,40;9,23;8,71
0,50;1,10;9,22;8,70
0,50;0,80;9,23;8,69
0,50;0,50;9,21;8,71
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,30;9,22;8,70
0,50;0,50;9,21;8,71
0,50;0,80;9,23;8,69
0,50;1,10;9,22;8,70
0,50;1,40;9,23;8,71
0,50;1,80;9,23;8,69
0,50;2,20;9,22;8,70
0,50;2,60;9,23;8,69
0,50;3,30;9,21;8,70
0,50;3,90;9,23;8,71
0,50;4,60;9,22;8,71
0,50;5,20;9,23;8,71
0,50;5,60;9,24;8,71
0,50;6,20;9,23;8,71
0,50;6,60;9,22;8,70
