 ,Area,Mean,Min,Max,X,Y
1,0.000,159,159,159,-2.968,-6.477
2,0.000,168,168,168,-2.798,-6.278
3,0.000,145,145,145,-2.605,-5.985
4,0.000,163,163,163,-2.488,-5.599
5,0.000,144,144,144,-2.506,-5.015
6,0.000,140,140,140,-2.523,-4.512
7,0.000,172,172,172,-2.523,-3.985
8,0.000,126,126,126,-2.588,-3.418
9,0.000,130,130,130,-2.576,-2.968
10,0.000,111,111,111,-2.576,-2.453
11,0.000,125,125,125,-2.623,-1.985
12,0.000,96,96,96,-2.588,-1.436
13,0.000,148,148,148,-2.635,-1.056
14,0.000,103,103,103,-2.629,-0.576
15,0.000,112,112,112,-2.599,-0.161
16,0.000,114,114,114,-2.576,0.500
17,0.000,110,110,110,-2.535,1.009
18,0.000,99,99,99,-2.447,1.599
19,0.000,143,143,143,-2.225,2.184
20,0.000,90,90,90,-1.775,2.477
21,0.000,97,97,97,-1.260,2.570
22,0.000,89,89,89,-0.699,2.570
23,0.000,63,63,63,-0.149,2.611
24,0.000,78,78,78,0.529,2.605
25,0.000,72,72,72,1.114,2.541
26,0.000,65,65,65,1.716,2.541
27,0.000,76,76,76,2.225,2.512
28,0.000,80,80,80,2.833,2.453
29,0.000,69,69,69,3.336,2.383
30,0.000,71,71,71,3.868,2.354
31,0.000,75,75,75,4.477,2.278
32,0.000,77,77,77,4.950,2.272
33,0.000,97,97,97,5.307,2.266
34,0.000,76,76,76,5.734,2.342
35,0.000,52,52,52,6.114,2.436
36,0.000,73,73,73,6.494,2.681
