 ,Area,Mean,Min,Max,X,Y
1,0.000,157,157,157,1.409,0.003
2,0.000,107,107,107,1.397,-0.312
3,0.000,100,100,100,1.445,-0.573
4,0.000,119,119,119,1.506,-0.809
5,0.000,80,80,80,1.591,-0.985
6,0.000,125,125,125,1.676,-1.197
7,0.000,109,109,109,1.803,-1.397
8,0.000,91,91,91,1.912,-1.579
9,0.000,104,104,104,2.100,-1.815
10,0.000,89,89,89,2.294,-2.021
11,0.000,74,74,74,2.548,-2.221
12,0.000,76,76,76,2.900,-2.470
13,0.000,73,73,73,3.270,-2.664
14,0.000,85,85,85,3.682,-2.858
15,0.000,97,97,97,4.148,-2.967
16,0.000,90,90,90,4.512,-2.948
17,0.000,99,99,99,4.997,-2.882
18,0.000,99,99,99,5.433,-2.815
19,0.000,68,68,68,5.936,-2.712
20,0.000,67,67,67,6.318,-2.476
21,0.000,68,68,68,6.670,-2.276
22,0.000,99,99,99,7.039,-2.015
23,0.000,68,68,68,7.288,-1.706
24,0.000,65,65,65,7.561,-1.379
25,0.000,60,60,60,7.773,-1.070
26,0.000,55,55,55,7.936,-0.688
27,0.000,63,63,63,7.997,-0.373
28,0.000,138,138,138,8.100,-0.082
29,0.000,70,70,70,8.148,0.318
30,0.000,76,76,76,8.100,0.736
31,0.000,57,57,57,8.027,1.070
32,0.000,62,62,62,7.882,1.385
33,0.000,85,85,85,7.676,1.682
34,0.000,78,78,78,7.470,1.924
35,0.000,98,98,98,7.142,2.215
36,0.000,82,82,82,6.839,2.415
37,0.000,71,71,71,6.573,2.548
38,0.000,69,69,69,6.306,2.706
39,0.000,69,69,69,6.027,2.827
40,0.000,64,64,64,5.803,2.985
41,0.000,53,53,53,5.548,3.015
42,0.000,46,46,46,5.155,3.039
43,0.000,55,55,55,4.742,3.088
44,0.000,57,57,57,4.348,3.130
45,0.000,47,47,47,3.833,3.058
46,0.000,71,71,71,3.445,2.906
47,0.000,46,46,46,3.039,2.688
48,0.000,60,60,60,2.670,2.427
49,0.000,68,68,68,2.361,2.197
50,0.000,56,56,56,2.003,1.827
51,0.000,82,82,82,1.791,1.530
52,0.000,50,50,50,1.627,1.288
53,0.000,60,60,60,1.530,0.967
54,0.000,85,85,85,1.464,0.609
55,0.000,73,73,73,1.415,0.318
