Area;Mean;Min;Max;X;Y
0.000;157;157;157;2.12;0.21
0.000;77;77;77;2.13;0.37
0.000;91;91;91;2.14;0.56
0.000;93;93;93;2.13;0.78
0.000;87;87;87;2.134;0.98
0.000;92;92;92;2.128;1.13
0.000;91;91;91;2.157;1.244
0.000;93;93;93;2.128;1.558
0.000;87;87;87;2.163;1.953
0.000;92;92;92;2.145;2.384
0.000;97;97;97;2.151;2.779
0.000;108;108;108;2.174;3.186
0.000;98;98;98;2.169;3.552
0.000;100;100;100;2.186;3.988
0.000;97;97;97;2.297;4.570
0.000;146;146;146;2.448;4.971
0.000;135;135;135;2.198;4.320
0.000;123;123;123;2.320;4.820
0.000;123;123;123;2.645;5.215
0.000;119;119;119;2.849;5.471
0.000;132;132;132;2.977;5.587
0.000;121;121;121;3.198;5.558
0.000;143;143;143;3.599;5.558
0.000;140;140;140;4.145;5.570
0.000;140;140;140;4.628;5.541
0.000;109;109;109;5.035;5.535
0.000;121;121;121;5.483;5.477
0.000;119;119;119;5.872;5.459
0.000;108;108;108;6.331;5.349
0.000;155;155;155;6.779;5.267
0.000;172;172;172;7.209;5.163
0.000;99;99;99;7.578;4.988
0.000;126;126;126;8.043;4.849
0.000;95;95;95;8.353;4.717
0.000;146;146;146;8.795;4.562
0.000;136;136;136;9.143;4.438
0.000;143;143;143;9.570;4.260
0.000;98;98;98;9.779;4.112
0.000;104;104;104;10.225;3.868
0.000;145;145;145;10.609;3.640
0.000;108;108;108;10.977;3.473
0.000;86;86;86;11.341;3.143
0.000;95;95;95;11.597;2.752
0.000;76;76;76;11.764;2.496
0.000;106;106;106;12.012;2.159
0.000;99;99;99;12.236;1.787
0.000;83;83;83;12.430;1.372
0.000;84;84;84;12.581;0.977
0.000;74;74;74;12.736;0.531
0.000;89;89;89;12.779;0.109
0.000;84;84;84;12.640;-0.376
0.000;62;62;62;12.453;-0.705
0.000;102;102;102;12.058;-1.221
0.000;66;66;66;11.729;-1.535
0.000;57;57;57;11.388;-1.926
0.000;50;50;50;11.124;-2.229
0.000;46;46;46;10.717;-2.659
0.000;47;47;47;10.391;-2.919
0.000;41;41;41;9.922;-3.287
0.000;43;43;43;9.612;-3.558
0.000;58;58;58;9.147;-3.810
0.000;41;41;41;8.895;-3.957
0.000;42;42;42;8.465;-4.151
0.000;41;41;41;8.120;-4.298
0.000;48;48;48;7.764;-4.415
0.000;75;75;75;7.391;-4.554
0.000;72;72;72;7.023;-4.725
0.000;73;73;73;6.671;-4.810
0.000;77;77;77;6.407;-4.926
0.000;103;103;103;6.089;-5.035
0.000;67;67;67;5.760;-5.109
0.000;62;62;62;5.407;-5.174
0.000;64;64;64;5.078;-5.267
0.000;58;58;58;4.748;-5.322
0.000;72;72;72;4.461;-5.384
0.000;66;66;66;4.174;-5.426
0.000;46;46;46;3.880;-5.450
0.000;77;77;77;3.570;-5.477
0.000;42;42;42;3.298;-5.465
0.000;42;42;42;2.973;-5.384
0.000;39;39;39;2.756;-5.306
0.000;75;75;75;2.519;-5.128
0.000;58;58;58;2.326;-4.942
0.000;43;43;43;2.186;-4.671
0.000;40;40;40;2.105;-4.461
0.000;40;40;40;2.116;-4.159
0.000;37;37;37;2.141;-3.794
0.000;37;37;37;2.141;-3.235
0.000;36;36;36;2.141;-2.677
0.000;46;46;46;2.141;-2.398
0.000;39;39;39;2.141;-2.119
0.000;37;37;37;2.141;-1.561
0.000;32;32;32;2.141;-1.282
0.000;54;54;54;2.141;-1.003
0.000;35;35;35;2.129;-0.65
0.000;32;32;32;2.129;-0.37
0.000;37;37;37;2.163;-0.21
0.000;36;36;36;2.163;0.02
