 ,Area,Mean,Min,Max,X,Y
1,0.000,61,61,61,-2.314,4.105
2,0.000,53,53,53,-2.314,3.547
3,0.000,57,57,57,-2.314,2.988
4,0.000,64,64,64,-2.314,2.709
5,0.000,57,57,57,-2.314,2.430
6,0.000,63,63,63,-2.314,2.151
7,0.000,66,66,66,-2.308,1.674
8,0.000,62,62,62,-2.291,1.384
9,0.000,68,68,68,-2.267,0.930
10,0.000,75,75,75,-2.291,0.674
11,0.000,77,77,77,-2.337,0.326
12,0.000,80,80,80,-2.337,-0.192
13,0.000,82,82,82,-2.337,-0.465
14,0.000,84,84,84,-2.331,-1.244
15,0.000,95,95,95,-2.273,-1.808
16,0.000,92,92,92,-2.297,-2.186
17,0.000,100,100,100,-2.285,-2.791
18,0.000,136,136,136,-2.308,-3.483
19,0.000,122,122,122,-2.308,-3.994
20,0.000,135,135,135,-2.308,-4.372
21,0.000,114,114,114,-2.366,-4.738
22,0.000,139,139,139,-2.453,-5.047
23,0.000,118,118,118,-2.709,-5.105
24,0.000,158,158,158,-3.043,-5.298
25,0.000,119,119,119,-3.438,-5.267
26,0.000,114,114,114,-3.795,-5.213
27,0.000,147,147,147,-4.058,-5.136
28,0.000,142,142,142,-4.376,-4.996
29,0.000,134,134,134,-4.547,-4.880
30,0.000,120,120,120,-4.779,-4.725
31,0.000,121,121,121,-5.012,-4.609
32,0.000,123,123,123,-5.267,-4.492
33,0.000,137,137,137,-5.446,-4.391
34,0.000,132,132,132,-5.802,-4.174
35,0.000,130,130,130,-6.012,-4.012
36,0.000,130,130,130,-6.213,-3.779
37,0.000,117,117,117,-6.484,-3.539
38,0.000,129,129,129,-6.779,-3.275
39,0.000,122,122,122,-7.081,-2.919
40,0.000,113,113,113,-7.260,-2.725
41,0.000,101,101,101,-7.453,-2.430
42,0.000,109,109,109,-7.632,-2.205
43,0.000,160,160,160,-7.740,-1.973
44,0.000,91,91,91,-7.903,-1.740
45,0.000,97,97,97,-8.019,-1.461
46,0.000,88,88,88,-8.221,-1.027
47,0.000,104,104,104,-8.089,-1.221
48,0.000,80,80,80,-8.267,-0.702
49,0.000,78,78,78,-8.291,-0.461
50,0.000,124,124,124,-8.291,-0.081
51,0.000,79,79,79,-8.236,0.244
52,0.000,76,76,76,-8.236,0.461
53,0.000,77,77,77,-8.151,0.810
54,0.000,69,69,69,-8.089,1.074
55,0.000,80,80,80,-7.996,1.298
56,0.000,94,94,94,-7.857,1.570
57,0.000,90,90,90,-7.764,1.826
58,0.000,172,172,172,-7.655,2.089
59,0.000,87,87,87,-7.484,2.384
60,0.000,61,61,61,-7.360,2.678
61,0.000,71,71,71,-7.159,2.965
62,0.000,74,74,74,-7.012,3.198
63,0.000,64,64,64,-6.833,3.399
64,0.000,51,51,51,-6.694,3.539
65,0.000,77,77,77,-6.547,3.748
66,0.000,48,48,48,-6.368,3.895
67,0.000,61,61,61,-6.174,4.112
68,0.000,62,62,62,-5.965,4.252
69,0.000,65,65,65,-5.725,4.438
70,0.000,76,76,76,-5.469,4.609
71,0.000,57,57,57,-5.252,4.795
72,0.000,59,59,59,-4.957,4.981
73,0.000,37,37,37,-4.624,5.074
74,0.000,51,51,51,-4.391,5.252
75,0.000,44,44,44,-4.136,5.252
76,0.000,66,66,66,-3.740,5.298
77,0.000,48,48,48,-3.422,5.353
78,0.000,52,52,52,-3.136,5.329
79,0.000,72,72,72,-2.880,5.236
80,0.000,49,49,49,-2.694,5.120
81,0.000,66,66,66,-2.516,4.950
82,0.000,48,48,48,-2.391,4.702
83,0.000,59,59,59,-2.306,4.337
84,0.000,54,54,54,-2.291,4.523
85,0.000,95,95,95,-2.306,3.888
86,0.000,65,65,65,-2.329,3.725
87,0.000,58,58,58,-2.306,3.391
88,0.000,61,61,61,-2.291,3.221
