 ,Area,Mean,Min,Max,X,Y
1,0.000,84,84,84,2.430,-0.578
2,0.000,72,72,72,2.438,-0.888
3,0.000,93,93,93,2.376,-1.345
4,0.000,85,85,85,2.391,-1.678
5,0.000,78,78,78,2.391,-2.081
6,0.000,86,86,86,2.368,-2.492
7,0.000,104,104,104,2.422,-2.864
8,0.000,116,116,116,2.391,-3.205
9,0.000,111,111,111,2.384,-3.671
10,0.000,116,116,116,2.384,-3.981
11,0.000,102,102,102,2.422,-4.329
12,0.000,107,107,107,2.407,-4.554
13,0.000,93,93,93,2.484,-4.810
14,0.000,104,104,104,2.640,-4.996
15,0.000,124,124,124,2.864,-5.143
16,0.000,103,103,103,3.112,-5.167
17,0.000,97,97,97,3.384,-5.112
18,0.000,122,122,122,3.686,-4.872
19,0.000,110,110,110,3.957,-4.663
20,0.000,138,138,138,4.221,-4.500
21,0.000,111,111,111,4.523,-4.097
22,0.000,122,122,122,4.802,-3.857
23,0.000,126,126,126,5.074,-3.492
24,0.000,116,116,116,5.314,-3.151
25,0.000,121,121,121,5.531,-2.740
26,0.000,102,102,102,5.740,-2.213
27,0.000,113,113,113,5.965,-1.632
28,0.000,85,85,85,6.027,-1.182
29,0.000,107,107,107,6.081,-0.601
30,0.000,104,104,104,6.120,-0.198
31,0.000,53,53,53,6.136,0.337
32,0.000,52,52,52,6.027,0.818
33,0.000,62,62,62,6.012,1.306
34,0.000,54,54,54,5.849,1.841
35,0.000,62,62,62,5.694,2.236
36,0.000,47,47,47,5.554,2.593
37,0.000,52,52,52,5.244,3.043
38,0.000,48,48,48,5.012,3.368
39,0.000,69,69,69,4.787,3.779
40,0.000,53,53,53,4.570,4.081
41,0.000,43,43,43,4.260,4.484
42,0.000,134,134,134,3.996,4.810
43,0.000,57,57,57,3.740,5.074
44,0.000,37,37,37,3.469,5.229
45,0.000,60,60,60,3.066,5.275
46,0.000,44,44,44,2.833,5.182
47,0.000,53,53,53,2.647,4.841
48,0.000,47,47,47,2.469,4.391
49,0.000,47,47,47,2.430,3.818
50,0.000,74,74,74,2.422,3.252
51,0.000,61,61,61,2.422,2.446
52,0.000,61,61,61,2.391,1.903
53,0.000,65,65,65,2.399,1.500
54,0.000,63,63,63,2.422,1.050
55,0.000,62,62,62,2.399,0.632
56,0.000,73,73,73,2.415,0.229
57,0.000,81,81,81,2.407,-0.174
