 ,Area,Mean,Min,Max,X,Y
1,0,71,71,71,714.000,438.000
2,0,78,78,78,708.500,380.167
3,0,156,156,156,709.833,318.833
4,0,99,99,99,712.500,254.833
5,0,100,100,100,741.833,209.500
6,0,115,115,115,792.500,206.833
7,0,86,86,86,863.167,222.833
8,0,76,76,76,908.500,301.500
9,0,61,61,61,932.500,368.167
10,0,49,49,49,955.167,457.500
11,0,44,44,44,939.167,534.833
12,0,43,43,43,899.167,582.833
13,0,37,37,37,848.500,625.500
14,0,45,45,45,789.833,645.500
15,0,39,39,39,749.833,665.500
16,0,42,42,42,725.833,660.167
17,0,66,66,66,717.833,610.833
18,0,57,57,57,696.500,544.167
19,0,113,113,113,711.167,484.167
