 ,Area,Mean,Min,Max,X,Y
1,0.000,209,209,209,0.479,0.116
2,0.000,210,210,210,0.405,0.126
3,0.000,209,209,209,0.358,0.126
4,0.000,214,214,214,0.282,0.125
5,0.000,212,212,212,0.205,0.139
6,0.000,206,206,206,0.146,0.132
7,0.000,207,207,207,0.072,0.135
8,0.000,211,211,211,0.012,0.139
9,0.000,140,140,140,-0.065,0.146
10,0.000,199,199,199,-0.118,0.146
11,0.000,210,210,210,-0.167,0.146
12,0.000,205,205,205,-0.237,0.160
13,0.000,210,210,210,-0.282,0.160
14,0.000,207,207,207,-0.346,0.163
15,0.000,209,209,209,-0.405,0.163
16,0.000,214,214,214,-0.482,0.177
17,0.000,209,209,209,-0.546,0.177
18,0.000,207,207,207,-0.584,0.181
19,0.000,210,210,210,-0.640,0.188
20,0.000,208,208,208,-0.704,0.191
21,0.000,208,208,208,-0.777,0.191
22,0.000,210,210,210,-0.851,0.202
23,0.000,205,205,205,-0.911,0.202
24,0.000,37,37,37,-0.981,0.202
25,0.000,144,144,144,-1.044,0.212
26,0.000,213,213,213,-1.128,0.219
27,0.000,210,210,210,-1.191,0.230
28,0.000,212,212,212,-1.254,0.230
29,0.000,213,213,213,-1.328,0.240
30,0.000,210,210,210,-1.388,0.244
31,0.000,215,215,215,-1.458,0.254
32,0.000,219,219,219,-1.532,0.258
33,0.000,210,210,210,-1.595,0.265
34,0.000,220,220,220,-1.672,0.268
35,0.000,215,215,215,-1.760,0.282
36,0.000,214,214,214,-1.840,0.289
37,0.000,217,217,217,-1.889,0.296
38,0.000,215,215,215,-1.953,0.307
39,0.000,211,211,211,-2.019,0.321
40,0.000,219,219,219,-2.089,0.321
41,0.000,212,212,212,-2.174,0.325
42,0.000,214,214,214,-2.244,0.332
43,0.000,216,216,216,-2.328,0.346
44,0.000,216,216,216,-2.419,0.353
45,0.000,210,210,210,-2.521,0.367
46,0.000,214,214,214,-2.609,0.374
47,0.000,215,215,215,-2.686,0.384
48,0.000,217,217,217,-2.774,0.395
49,0.000,214,214,214,-2.865,0.402
50,0.000,209,209,209,-2.946,0.416
51,0.000,205,205,205,-3.026,0.430
52,0.000,213,213,213,-3.107,0.430
53,0.000,214,214,214,-3.202,0.454
54,0.000,205,205,205,-3.318,0.454
55,0.000,205,205,205,-3.377,0.475
56,0.000,215,215,215,-3.461,0.493
57,0.000,212,212,212,-3.539,0.507
58,0.000,207,207,207,-3.602,0.514
59,0.000,199,199,199,-3.661,0.525
60,0.000,207,207,207,-3.728,0.539
61,0.000,196,196,196,-3.805,0.553
62,0.000,193,193,193,-3.904,0.553
63,0.000,201,201,201,-3.953,0.567
64,0.000,205,205,205,-4.068,0.581
65,0.000,197,197,197,-4.146,0.602
66,0.000,192,192,192,-4.237,0.616
67,0.000,198,198,198,-4.321,0.637
68,0.000,190,190,190,-4.405,0.644
69,0.000,205,205,205,-4.475,0.658
70,0.000,190,190,190,-4.581,0.689
71,0.000,187,187,187,-4.668,0.707
72,0.000,197,197,197,-4.798,0.728
73,0.000,190,190,190,-4.889,0.735
74,0.000,17,17,17,-4.956,0.760
75,0.000,192,192,192,-5.065,0.770
76,0.000,193,193,193,-5.139,0.784
77,0.000,191,191,191,-5.226,0.798
78,0.000,195,195,195,-5.342,0.830
79,0.000,190,190,190,-5.454,0.833
80,0.000,184,184,184,-5.577,0.868
81,0.000,188,188,188,-5.654,0.896
82,0.000,188,188,188,-5.714,0.900
83,0.000,187,187,187,-5.816,0.925
84,0.000,189,189,189,-5.872,0.960
85,0.000,182,182,182,-5.977,0.953
86,0.000,185,185,185,-6.051,0.970
87,0.000,196,196,196,-6.142,0.984
88,0.000,115,115,115,-6.247,1.030
89,0.000,185,185,185,-6.332,1.047
90,0.000,185,185,185,-6.454,1.072
91,0.000,184,184,184,-6.567,1.093
92,0.000,185,185,185,-6.665,1.135
93,0.000,183,183,183,-6.756,1.156
94,0.000,181,181,181,-6.844,1.177
95,0.000,170,170,170,-6.946,1.195
96,0.000,182,182,182,-7.086,1.233
97,0.000,176,176,176,-7.209,1.268
98,0.000,174,174,174,-7.300,1.293
99,0.000,175,175,175,-7.416,1.335
100,0.000,173,173,173,-7.525,1.356
101,0.000,174,174,174,-7.623,1.391
