 ,Area,Mean,Min,Max,X,Y
1,0.000,215,215,215,0.429,0.059
2,0.000,214,214,214,0.349,0.057
3,0.000,204,204,204,0.235,0.055
4,0.000,210,210,210,0.113,0.054
5,0.000,196,196,196,-0.059,0.059
6,0.000,210,210,210,-0.200,0.055
7,0.000,208,208,208,-0.339,0.054
8,0.000,202,202,202,-0.551,0.049
9,0.000,197,197,197,-0.710,0.048
10,0.000,102,102,102,-0.938,0.038
11,0.000,186,186,186,-1.119,0.026
12,0.000,41,41,41,-1.313,0.025
13,0.000,27,27,27,-1.494,0.014
14,0.000,33,33,33,-1.661,0.016
15,0.000,199,199,199,-1.830,0.007
16,0.000,203,203,203,-2.014,0.004
17,0.000,211,211,211,-2.228,-0.014
18,0.000,208,208,208,-2.419,-0.019
19,0.000,217,217,217,-2.771,-0.038
20,0.000,211,211,211,-2.606,-0.030
21,0.000,206,206,206,-2.957,-0.052
22,0.000,207,207,207,-3.116,-0.070
23,0.000,214,214,214,-3.275,-0.072
24,0.000,214,214,214,-3.438,-0.086
25,0.000,213,213,213,-3.646,-0.100
26,0.000,209,209,209,-3.771,-0.103
27,0.000,26,26,26,-3.948,-0.117
28,0.000,208,208,208,-4.133,-0.149
29,0.000,207,207,207,-4.336,-0.161
30,0.000,200,200,200,-4.539,-0.180
31,0.000,202,202,202,-4.709,-0.193
32,0.000,195,195,195,-4.855,-0.207
33,0.000,198,198,198,-5.038,-0.225
34,0.000,193,193,193,-5.183,-0.248
35,0.000,197,197,197,-5.358,-0.268
36,0.000,195,195,195,-5.533,-0.286
37,0.000,192,192,192,-5.680,-0.306
38,0.000,193,193,193,-5.861,-0.330
39,0.000,187,187,187,-6.080,-0.354
40,0.000,188,188,188,-6.261,-0.371
41,0.000,184,184,184,-6.435,-0.396
42,0.000,188,188,188,-6.594,-0.414
43,0.000,185,185,185,-6.746,-0.445
44,0.000,185,185,185,-6.929,-0.472
45,0.000,183,183,183,-7.113,-0.486
46,0.000,182,182,182,-7.254,-0.506
