 ,Area,Mean,Min,Max,X,Y
1,0.000,210,210,210,0.512,0.046
2,0.000,210,210,210,0.455,0.035
3,0.000,202,202,202,0.337,0.035
4,0.000,136,136,136,0.224,0.021
5,0.000,203,203,203,0.095,0.000
6,0.000,202,202,202,-0.025,0.000
7,0.000,206,206,206,-0.155,-0.019
8,0.000,203,203,203,-0.295,-0.042
9,0.000,201,201,201,-0.408,-0.057
10,0.000,200,200,200,-0.530,-0.079
11,0.000,196,196,196,-0.641,-0.104
12,0.000,190,190,190,-0.787,-0.145
13,0.000,159,159,159,-0.931,-0.183
14,0.000,185,185,185,-1.071,-0.208
15,0.000,180,180,180,-1.179,-0.250
16,0.000,180,180,180,-1.290,-0.290
17,0.000,174,174,174,-1.416,-0.335
18,0.000,173,173,173,-1.535,-0.384
19,0.000,168,168,168,-1.655,-0.437
20,0.000,165,165,165,-1.755,-0.493
21,0.000,159,159,159,-1.882,-0.553
22,0.000,152,152,152,-2.019,-0.631
23,0.000,151,151,151,-2.135,-0.722
24,0.000,150,150,150,-2.261,-0.803
25,0.000,147,147,147,-2.349,-0.868
