 ,Area,Mean,Min,Max,X,Y
1,0.000,224,224,224,0.434,0.049
2,0.000,208,208,208,0.292,0.036
3,0.000,219,219,219,0.077,0.027
4,0.000,218,218,218,-0.112,0.005
5,0.000,172,172,172,-0.350,-0.014
6,0.000,215,215,215,-0.577,-0.044
7,0.000,209,209,209,-0.740,-0.063
8,0.000,135,135,135,-0.970,-0.096
9,0.000,196,196,196,-1.169,-0.150
10,0.000,191,191,191,-1.347,-0.199
11,0.000,184,184,184,-1.538,-0.238
12,0.000,180,180,180,-1.719,-0.295
13,0.000,174,174,174,-1.932,-0.369
14,0.000,173,173,173,-2.134,-0.434
15,0.000,173,173,173,-2.352,-0.514
16,0.000,167,167,167,-2.566,-0.604
17,0.000,159,159,159,-2.768,-0.708
