 ,Area,Mean,Min,Max,X,Y
1,0.000,222,222,222,0.447,0.046
2,0.000,221,221,221,0.358,0.041
3,0.000,219,219,219,0.239,0.051
4,0.000,217,217,217,0.165,0.041
5,0.000,215,215,215,0.071,0.041
6,0.000,185,185,185,-0.018,0.031
7,0.000,219,219,219,-0.127,0.031
8,0.000,217,217,217,-0.241,0.031
9,0.000,216,216,216,-0.360,0.026
10,0.000,216,216,216,-0.488,0.026
11,0.000,212,212,212,-0.805,0.017
12,0.000,197,197,197,-0.919,0.007
13,0.000,199,199,199,-1.058,-0.003
14,0.000,215,215,215,-0.584,0.023
15,0.000,214,214,214,-0.686,0.023
16,0.000,204,204,204,-1.135,0.000
17,0.000,139,139,139,-1.254,-0.007
18,0.000,102,102,102,-1.373,-0.013
19,0.000,38,38,38,-1.525,-0.020
20,0.000,38,38,38,-1.673,-0.020
21,0.000,50,50,50,-1.774,-0.035
22,0.000,166,166,166,-1.876,-0.038
23,0.000,214,214,214,-1.979,-0.038
24,0.000,202,202,202,-2.097,-0.045
25,0.000,211,211,211,-2.213,-0.064
26,0.000,212,212,212,-2.315,-0.064
27,0.000,216,216,216,-2.424,-0.074
28,0.000,215,215,215,-2.540,-0.074
29,0.000,221,221,221,-2.652,-0.087
30,0.000,218,218,218,-2.797,-0.094
31,0.000,216,216,216,-2.922,-0.101
32,0.000,217,217,217,-3.058,-0.111
33,0.000,215,215,215,-3.183,-0.127
34,0.000,218,218,218,-3.318,-0.130
35,0.000,223,223,223,-3.427,-0.137
36,0.000,218,218,218,-3.546,-0.157
37,0.000,221,221,221,-3.662,-0.160
38,0.000,221,221,221,-3.774,-0.170
39,0.000,220,220,220,-3.922,-0.180
40,0.000,217,217,217,-4.031,-0.193
41,0.000,13,13,13,-4.167,-0.203
42,0.000,170,170,170,-4.289,-0.219
43,0.000,220,220,220,-4.401,-0.226
44,0.000,218,218,218,-4.520,-0.236
45,0.000,215,215,215,-4.625,-0.249
46,0.000,212,212,212,-4.751,-0.259
47,0.000,213,213,213,-4.866,-0.266
48,0.000,208,208,208,-4.965,-0.285
49,0.000,212,212,212,-5.097,-0.305
50,0.000,209,209,209,-5.213,-0.309
51,0.000,205,205,205,-5.332,-0.325
52,0.000,204,204,204,-5.424,-0.342
53,0.000,207,207,207,-5.550,-0.355
54,0.000,204,204,204,-5.665,-0.361
55,0.000,204,204,204,-5.800,-0.368
56,0.000,203,203,203,-5.913,-0.404
57,0.000,202,202,202,-6.025,-0.427
58,0.000,196,196,196,-6.153,-0.431
59,0.000,201,201,201,-6.282,-0.447
60,0.000,200,200,200,-6.444,-0.474
61,0.000,199,199,199,-6.553,-0.487
62,0.000,200,200,200,-6.672,-0.493
63,0.000,197,197,197,-6.804,-0.513
64,0.000,199,199,199,-6.929,-0.533
65,0.000,197,197,197,-7.054,-0.553
66,0.000,210,210,210,-7.153,-0.569
67,0.000,196,196,196,-7.246,-0.583
68,0.000,207,207,207,-7.431,-0.616
