 ,Area,Mean,Min,Max,X,Y
1,0.000,209,209,209,0.456,0.361
2,0.000,207,207,207,0.370,0.377
3,0.000,209,209,209,0.296,0.394
4,0.000,199,199,199,0.205,0.409
5,0.000,205,205,205,0.123,0.436
6,0.000,199,199,199,0.042,0.455
7,0.000,212,212,212,-0.060,0.487
8,0.000,209,209,209,-0.139,0.513
9,0.000,209,209,209,-0.233,0.549
10,0.000,210,210,210,-0.329,0.577
11,0.000,207,207,207,-0.424,0.608
12,0.000,218,218,218,-0.534,0.651
13,0.000,211,211,211,-0.651,0.707
14,0.000,215,215,215,-0.770,0.753
15,0.000,213,213,213,-0.875,0.793
16,0.000,213,213,213,-0.977,0.841
17,0.000,217,217,217,-1.103,0.912
18,0.000,213,213,213,-1.242,0.983
19,0.000,216,216,216,-1.412,1.066
20,0.000,218,218,218,-1.526,1.123
21,0.000,214,214,214,-1.637,1.194
22,0.000,216,216,216,-1.745,1.256
23,0.000,217,217,217,-1.873,1.330
24,0.000,213,213,213,-1.946,1.380
25,0.000,212,212,212,-2.069,1.457
26,0.000,213,213,213,-2.165,1.531
27,0.000,215,215,215,-2.255,1.594
28,0.000,205,205,205,-2.347,1.645
29,0.000,218,218,218,-2.451,1.731
30,0.000,207,207,207,-2.549,1.812
31,0.000,205,205,205,-2.654,1.887
32,0.000,194,194,194,-2.864,2.060
33,0.000,201,201,201,-2.764,1.969
34,0.000,195,195,195,-2.978,2.151
35,0.000,194,194,194,-3.091,2.275
36,0.000,202,202,202,-3.194,2.364
37,0.000,199,199,199,-3.282,2.454
38,0.000,197,197,197,-3.392,2.551
