 ,Area,Mean,Min,Max,X,Y
1,0.000,214,214,214,0.390,0.224
2,0.000,208,208,208,0.292,0.236
3,0.000,207,207,207,0.217,0.245
4,0.000,207,207,207,0.140,0.262
5,0.000,207,207,207,0.033,0.273
6,0.000,209,209,209,-0.100,0.294
7,0.000,206,206,206,-0.199,0.325
8,0.000,209,209,209,-0.306,0.343
9,0.000,212,212,212,-0.451,0.362
10,0.000,207,207,207,-0.551,0.386
11,0.000,215,215,215,-0.640,0.393
12,0.000,215,215,215,-0.738,0.411
13,0.000,211,211,211,-0.806,0.437
14,0.000,216,216,216,-0.886,0.446
15,0.000,213,213,213,-0.960,0.477
16,0.000,216,216,216,-1.068,0.486
17,0.000,219,219,219,-1.173,0.516
18,0.000,213,213,213,-1.264,0.544
19,0.000,220,220,220,-1.364,0.565
20,0.000,216,216,216,-1.463,0.591
21,0.000,218,218,218,-1.579,0.621
22,0.000,217,217,217,-1.694,0.654
23,0.000,218,218,218,-1.804,0.699
24,0.000,219,219,219,-1.900,0.731
25,0.000,37,37,37,-2.007,0.762
26,0.000,217,217,217,-2.110,0.790
27,0.000,218,218,218,-2.203,0.820
28,0.000,219,219,219,-2.320,0.871
29,0.000,217,217,217,-2.409,0.904
30,0.000,212,212,212,-2.484,0.932
31,0.000,212,212,212,-2.554,0.960
32,0.000,140,140,140,-2.659,0.986
33,0.000,141,141,141,-2.764,1.021
34,0.000,201,201,201,-2.839,1.065
35,0.000,204,204,204,-2.930,1.112
36,0.000,207,207,207,-3.044,1.143
37,0.000,208,208,208,-3.126,1.161
38,0.000,210,210,210,-3.203,1.206
39,0.000,199,199,199,-3.332,1.248
40,0.000,200,200,200,-3.456,1.308
41,0.000,200,200,200,-3.544,1.357
42,0.000,200,200,200,-3.671,1.407
43,0.000,199,199,199,-3.783,1.460
44,0.000,197,197,197,-3.921,1.544
45,0.000,194,194,194,-4.072,1.607
46,0.000,196,196,196,-4.180,1.668
47,0.000,189,189,189,-4.306,1.729
48,0.000,193,193,193,-4.451,1.820
49,0.000,191,191,191,-4.558,1.895
50,0.000,190,190,190,-4.710,1.953
51,0.000,131,131,131,-4.811,2.035
52,0.000,186,186,186,-4.974,2.119
53,0.000,187,187,187,-5.131,2.222
