 ,Area,Mean,Min,Max,X,Y
1,0.000,218,218,218,0.398,0.111
2,0.000,216,216,216,0.444,0.111
3,0.000,223,223,223,0.323,0.114
4,0.000,219,219,219,0.257,0.116
5,0.000,218,218,218,0.194,0.122
6,0.000,219,219,219,0.102,0.128
7,0.000,217,217,217,0.004,0.122
8,0.000,198,198,198,-0.099,0.131
9,0.000,215,215,215,-0.177,0.139
10,0.000,220,220,220,-0.289,0.148
11,0.000,218,218,218,-0.395,0.154
12,0.000,220,220,220,-0.545,0.165
13,0.000,220,220,220,-0.657,0.171
14,0.000,216,216,216,-0.777,0.168
15,0.000,217,217,217,-0.861,0.174
16,0.000,25,25,25,-0.958,0.188
17,0.000,134,134,134,-1.082,0.185
18,0.000,213,213,213,-1.200,0.188
19,0.000,210,210,210,-1.300,0.197
20,0.000,206,206,206,-1.404,0.197
21,0.000,202,202,202,-1.507,0.197
22,0.000,210,210,210,-1.611,0.208
23,0.000,203,203,203,-1.691,0.211
24,0.000,199,199,199,-1.783,0.214
25,0.000,197,197,197,-1.875,0.220
26,0.000,201,201,201,-1.967,0.231
27,0.000,194,194,194,-2.076,0.240
28,0.000,195,195,195,-2.157,0.234
29,0.000,191,191,191,-2.269,0.243
30,0.000,192,192,192,-2.392,0.249
31,0.000,187,187,187,-2.524,0.249
32,0.000,189,189,189,-2.651,0.254
33,0.000,188,188,188,-2.769,0.257
34,0.000,185,185,185,-2.872,0.257
35,0.000,185,185,185,-2.984,0.263
36,0.000,183,183,183,-3.073,0.274
37,0.000,181,181,181,-3.234,0.277
38,0.000,184,184,184,-3.366,0.280
39,0.000,181,181,181,-3.464,0.289
40,0.000,178,178,178,-3.611,0.303
41,0.000,177,177,177,-3.734,0.292
42,0.000,177,177,177,-3.875,0.303
43,0.000,171,171,171,-4.033,0.315
44,0.000,174,174,174,-4.171,0.309
45,0.000,170,170,170,-4.326,0.315
46,0.000,167,167,167,-4.432,0.312
47,0.000,167,167,167,-4.539,0.332
48,0.000,167,167,167,-4.665,0.323
49,0.000,167,167,167,-4.766,0.329
50,0.000,166,166,166,-4.846,0.332
51,0.000,167,167,167,-4.927,0.332
52,0.000,167,167,167,-5.030,0.332
53,0.000,163,163,163,-5.151,0.338
54,0.000,163,163,163,-5.283,0.343
